player,year,overall_pick,games,points,total_rebounds,assists,successScore
Plenette Pierson,2003,4,444.0,9.6,4.1,1.5,0.5047666343962535
Kara Lawson,2003,5,377.0,9.8,2.6,2.5,0.49658089902507213
Gwen Jackson,2003,6,77.0,5.7,4.0,0.5,0.2936145652826279
Aiysha Smith,2003,7,60.0,3.7,2.2,0.4,0.19370093334687818
Jung Sun-Min,2003,8,17.0,1.8,0.6,0.1,0.07864071255235491
Jocelyn Penn,2003,9,31.0,2.9,1.7,0.5,0.14328515079796295
Molly Creamer,2003,10,0.0,0.0,0.0,0.0,0.0
Coretta Brown,2003,11,77.0,4.5,1.3,1.3,0.22614842693873372
Allison Curtin,2003,12,0.0,0.0,0.0,0.0,0.0
Courtney Coleman,2003,13,20.0,1.8,1.1,0.1,0.09103201469579005
Teresa Edwards,2003,14,68.0,5.5,2.9,3.3,0.368231245196081
Jennifer Butler,2003,15,0.0,0.0,0.0,0.0,0.0
Petra Ujhelyi,2003,16,14.0,0.3,0.9,0.2,0.06045327915886256
Erin Thorn,2003,17,283.0,4.8,1.3,1.5,0.3038937052782682
Jordan Adams,2003,18,10.0,3.3,2.3,0.4,0.1503519908681675
Lori Nero,2003,19,0.0,0.0,0.0,0.0,0.0
DeTrina White,2003,20,44.0,2.2,3.2,0.2,0.17507280877533996
Zuzana Zirkova,2003,21,6.0,1.8,0.3,0.2,0.06080445450925711
Suzy Batkovic-Brown,2003,22,49.0,5.0,2.5,0.6,0.20682960244706955
Dana Cherry,2003,23,0.0,0.0,0.0,0.0,0.0
Sonja Mallory,2003,24,6.0,1.7,1.7,0.0,0.09558653949505869
Ke-Ke Tardy,2003,25,0.0,0.0,0.0,0.0,0.0
K.B. Sharp,2003,26,178.0,2.4,0.9,1.2,0.21007261672612815
Schuye LaRue,2003,27,0.0,0.0,0.0,0.0,0.0
Syreeta Bromfield,2003,28,0.0,0.0,0.0,0.0,0.0
Carla Bennett,2003,29,0.0,0.0,0.0,0.0,0.0
Shaquala Williams,2003,30,25.0,2.0,1.3,0.8,0.13212409623945517
Telisha Quarles,2003,31,0.0,0.0,0.0,0.0,0.0
Trish Juhline,2003,32,0.0,0.0,0.0,0.0,0.0
Marion Jones,2003,33,47.0,2.6,1.3,0.5,0.13307251083787475
Lindsey Wilson,2003,34,0.0,0.0,0.0,0.0,0.0
Ashley McElhiney,2003,35,0.0,0.0,0.0,0.0,0.0
Tamara Bowie,2003,36,0.0,0.0,0.0,0.0,0.0
Chrissy Floyd,2003,37,0.0,0.0,0.0,0.0,0.0
Constance Jinks,2003,38,0.0,0.0,0.0,0.0,0.0
Nicole Kaczmarski,2003,39,0.0,0.0,0.0,0.0,0.0
Brooke Armistead,2003,40,0.0,0.0,0.0,0.0,0.0
Oxana Rakhmatulina,2003,41,0.0,0.0,0.0,0.0,0.0
Mary Jo Noon,2003,42,0.0,0.0,0.0,0.0,0.0
Sue Bird,2002,1,580.0,11.7,2.5,5.6,0.7158154031580019
Swin Cash,2002,2,479.0,10.7,5.3,2.4,0.6134413252169957
Stacey Dales,2002,3,150.0,9.2,2.2,2.7,0.4183602119264588
Asjha Jones,2002,4,368.0,10.9,4.8,1.7,0.5249704241141047
Nikki Teasley,2002,5,207.0,8.2,3.0,4.7,0.520081349587887
Tamika Williams,2002,6,219.0,6.1,5.1,1.0,0.40371800575360994
Sheila Lambert,2002,7,76.0,4.2,1.5,1.7,0.23616893472176614
Deanna Jackson,2002,8,142.0,5.8,2.6,1.0,0.2914899202433451
Shaunzinski Gortman,2002,9,77.0,2.6,1.9,0.7,0.17613206434588866
Michelle Snow,2002,10,402.0,8.4,6.2,1.1,0.5172663106781021
Danielle Crockrom,2002,11,18.0,1.6,0.7,0.1,0.06637579784156351
Hamchetou Maiga-Ba,2002,12,275.0,5.3,2.4,1.1,0.32445812469875157
Tawana McDonald,2002,13,0.0,0.0,0.0,0.0,0.0
LaNeishea Caufield,2002,14,8.0,2.4,0.6,0.1,0.08836502083872223
Tamara Moore,2002,15,145.0,4.4,1.7,1.8,0.2730789993357248
Rosalind Ross,2002,16,0.0,0.0,0.0,0.0,0.0
Zuzi Klimesova,2002,17,12.0,0.6,0.4,0.2,0.04444604311329656
Lenae Williams,2002,18,27.0,2.7,0.7,0.1,0.09126769318660403
Lucienne Berthieu,2002,19,43.0,3.0,1.7,0.2,0.13240096790344516
Ayana Walker,2002,20,132.0,2.7,2.4,0.4,0.20007782018429224
Jill Chapman-Daily,2002,21,19.0,1.2,1.4,0.0,0.08325705200096534
Kathy Wambe,2002,22,0.0,0.0,0.0,0.0,0.0
Davalyn Cunningham,2002,23,6.0,0.0,0.3,0.0,0.028364325159657422
Brandi McCain,2002,24,31.0,2.7,0.8,1.3,0.1656335887864401
Tootie Shaw,2002,25,0.0,0.0,0.0,0.0,0.0
Linda Frohlich,2002,26,72.0,2.3,1.3,0.4,0.12648533042082252
Andrea Gardner,2002,27,52.0,2.2,2.1,0.2,0.13002221932560795
Felicia Ragland,2002,28,72.0,3.7,1.6,0.9,0.20074548157369243
Lindsey Yamasaki,2002,29,39.0,1.7,0.7,0.5,0.10343830835433736
Gergana Slavtcheva,2002,30,2.0,0.0,0.0,0.5,0.050423302888770435
Angie Welle,2002,31,0.0,0.0,0.0,0.0,0.0
Jackie Higgins,2002,32,0.0,0.0,0.0,0.0,0.0
LaNisha Cartwell,2002,33,0.0,0.0,0.0,0.0,0.0
Kelly Komara,2002,34,0.0,0.0,0.0,0.0,0.0
Takeisha Lewis,2002,35,14.0,1.3,1.7,0.2,0.08202107551123036
Teresa Geter,2002,36,0.0,0.0,0.0,0.0,0.0
Mandy Nightingale,2002,37,0.0,0.0,0.0,0.0,0.0
Lindsey Meder,2002,38,0.0,0.0,0.0,0.0,0.0
Saundra Jackson,2002,39,0.0,0.0,0.0,0.0,0.0
Kayte Christensen,2002,40,143.0,3.2,2.6,0.5,0.22743634521193049
Edniesha Curry,2002,41,33.0,1.7,0.7,1.1,0.131078538540528
Shondra Johnson,2002,42,0.0,0.0,0.0,0.0,0.0
Edmarie Lumbsley,2002,43,0.0,0.0,0.0,0.0,0.0
Alayne Ingram,2002,44,0.0,0.0,0.0,0.0,0.0
Jerica Watson,2002,45,0.0,0.0,0.0,0.0,0.0
Tracy Gahan,2002,46,0.0,0.0,0.0,0.0,0.0
Ericka Haney,2002,47,0.0,0.0,0.0,0.0,0.0
Rashana Barnes,2002,48,0.0,0.0,0.0,0.0,0.0
LaKeisha Taylor,2002,49,0.0,0.0,0.0,0.0,0.0
Melody Johnson,2002,50,0.0,0.0,0.0,0.0,0.0
Jermisha Dosty,2002,51,0.0,0.0,0.0,0.0,0.0
Jillian Danker,2002,52,0.0,0.0,0.0,0.0,0.0
Monique Cardenas,2002,53,0.0,0.0,0.0,0.0,0.0
Sharron Francis,2002,54,0.0,0.0,0.0,0.0,0.0
Tomeka Brown,2002,55,0.0,0.0,0.0,0.0,0.0
Amba Kongolo,2002,56,0.0,0.0,0.0,0.0,0.0
Jessie Stomski,2002,57,0.0,0.0,0.0,0.0,0.0
Cori Enghusen,2002,58,0.0,0.0,0.0,0.0,0.0
Jacklyn Winfield,2002,59,0.0,0.0,0.0,0.0,0.0
Elizabeth Pickney,2002,60,0.0,0.0,0.0,0.0,0.0
Jerkisha Dosty,2002,61,0.0,0.0,0.0,0.0,0.0
Deedee Warley,2002,62,0.0,0.0,0.0,0.0,0.0
Marche Strickland,2002,63,0.0,0.0,0.0,0.0,0.0
Tiffany Thompson,2002,64,0.0,0.0,0.0,0.0,0.0
Lauren Jackson,2001,1,317.0,18.9,7.7,1.4,0.6795223812922311
Kelly Miller,2001,2,364.0,7.1,2.8,2.6,0.4651162954770228
Tamika Catchings,2001,3,457.0,16.1,7.3,3.3,0.7467426843538767
Jackie Stiles,2001,4,53.0,11.4,1.8,1.4,0.3624878214681028
Ruth Riley,2001,5,387.0,6.3,4.1,1.2,0.4435082376206153
Deanna Nolan,2001,6,293.0,13.6,3.8,3.2,0.5899488061329886
Svetlana Abrosimova,2001,7,263.0,9.2,4.1,2.1,0.46812115029672985
Marie Ferdinand-Harris,2001,8,305.0,9.8,2.7,1.7,0.44782259827403986
Coco Miller,2001,9,352.0,5.8,2.1,1.4,0.3681263193396752
Katie Douglas,2001,10,412.0,13.5,3.8,2.6,0.6083580357784302
Penny Taylor,2001,11,355.0,13.0,4.4,3.0,0.5856644789035016
LaQuanda Barksdale,2001,12,48.0,3.4,1.6,0.4,0.1536131597896763
Kristen Veal,2001,13,52.0,3.6,1.7,3.2,0.29803088901085806
Kelly Schumacher,2001,14,222.0,4.9,3.1,0.5,0.29431068990160997
Amanda Lassiter,2001,15,190.0,4.8,2.7,1.4,0.3221497269736221
Camille Cooper,2001,16,27.0,2.0,1.0,0.1,0.08876448381381588
Semeka Randall,2001,17,123.0,5.8,2.5,1.0,0.28750833078752897
Tammy Sutton-Brown,2001,18,388.0,9.0,5.2,0.6,0.48913043374053294
Niele Ivey,2001,19,131.0,3.1,1.1,1.7,0.24766112575499152
Jenny Mowe,2001,20,11.0,0.6,0.5,0.0,0.04815059005814389
Georgia Schweitzer,2001,21,70.0,3.2,1.7,1.1,0.21014756692699935
Jae Kingi-Cross,2001,22,65.0,3.3,1.3,1.5,0.20529743322080168
Erin Perperoglou,2001,23,218.0,5.7,3.1,1.2,0.33701086494601634
Michaela Pavlickova,2001,24,18.0,0.4,0.6,0.1,0.04156131277097759
Tamara Stocks,2001,25,3.0,1.0,0.7,0.0,0.04649806220808903
Brooke Wyckoff,2001,26,242.0,3.1,3.1,1.3,0.32385400425064825
Jaynetta Saunders,2001,27,56.0,3.0,1.4,0.5,0.14965045752882383
Janell Burse,2001,28,233.0,6.8,4.1,0.5,0.3527931280920307
Ilona Korstine,2001,29,12.0,1.8,0.9,0.4,0.0886717194353372
Jackie Moore,2001,30,18.0,2.3,1.6,0.2,0.10850285256071657
Tynesha Lewis,2001,31,143.0,4.0,1.5,0.9,0.2221085067599171
Nicole Levandusky,2001,32,13.0,1.5,0.7,0.5,0.07866949473726777
ShaRae Mansfield,2001,33,0.0,0.0,0.0,0.0,0.0
Jennifer Phillips,2001,34,0.0,0.0,0.0,0.0,0.0
Marlena Williams,2001,35,0.0,0.0,0.0,0.0,0.0
Rasheeda Clark,2001,36,0.0,0.0,0.0,0.0,0.0
Levys Torres,2001,37,2.0,0.0,0.0,0.0,0.02374441021564146
Svetlana Volnaya,2001,38,0.0,0.0,0.0,0.0,0.0
Tombi Bell,2001,39,0.0,0.0,0.0,0.0,0.0
Shea Ralph,2001,40,0.0,0.0,0.0,0.0,0.0
Jamie Lewis,2001,41,0.0,0.0,0.0,0.0,0.0
Jaclyn Johnson,2001,42,17.0,2.1,1.4,0.5,0.11753691569949146
Angelina Wolvert,2001,43,1.0,2.0,1.0,0.0,0.06927586815308455
Elena Karpova,2001,44,0.0,0.0,0.0,0.0,0.0
Tere Williams,2001,45,0.0,0.0,0.0,0.0,0.0
Maren Walseth,2001,46,22.0,0.8,1.0,0.3,0.074361865331897
Shala Crawford,2001,47,0.0,0.0,0.0,0.0,0.0
Kelley Siemon,2001,48,0.0,0.0,0.0,0.0,0.0
Juana Brown,2001,49,0.0,0.0,0.0,0.0,0.0
Reshea Bristol,2001,50,1.0,0.0,2.0,0.0,0.06997959792085372
April Brown,2001,51,0.0,0.0,0.0,0.0,0.0
Natasha Pointer,2001,52,0.0,0.0,0.0,0.0,0.0
Carolyn Moos,2001,53,2.0,0.0,0.0,0.0,0.017980721454834543
Kelly Santos,2001,54,48.0,3.0,1.8,0.4,0.14971932361066528
Megan Taylor,2001,55,0.0,0.0,0.0,0.0,0.0
Cara Consuegra,2001,56,15.0,0.1,0.4,0.7,0.05455319489688678
Taru Tuukkanen,2001,57,0.0,0.0,0.0,0.0,0.0
Anne Thorius,2001,58,0.0,0.0,0.0,0.0,0.0
Erin Batth,2001,59,0.0,0.0,0.0,0.0,0.0
Tara Mitchem,2001,60,0.0,0.0,0.0,0.0,0.0
Megan Franza,2001,61,0.0,0.0,0.0,0.0,0.0
Katie Smrcka-Duffy,2001,62,0.0,0.0,0.0,0.0,0.0
Kristen Clement,2001,63,0.0,0.0,0.0,0.0,0.0
Beth Record,2001,64,0.0,0.0,0.0,0.0,0.0
Ann Wauters,2000,1,220.0,9.9,5.1,1.3,0.45520311708469163
Tausha Mills,2000,2,99.0,2.7,2.6,0.2,0.17058120790166048
Edwina Brown,2000,3,130.0,5.1,2.7,2.2,0.3286581610682632
Cintia dos Santos,2000,4,68.0,4.9,2.4,0.7,0.2387458221614466
Grace Daley,2000,5,71.0,3.7,1.5,1.2,0.1976524758584922
Betty Lennox,2000,6,320.0,12.1,4.1,2.0,0.5156229237559712
Lynn Pride,2000,7,112.0,3.8,3.0,1.0,0.26326386682883607
Tamicha Jackson,2000,8,151.0,6.8,1.7,2.6,0.344937726583501
Kamila Vodichkova,2000,9,202.0,8.8,5.1,1.4,0.4411890851396253
Maylana Martin,2000,10,61.0,3.7,2.5,0.7,0.21963375877303845
Summer Erb,2000,11,78.0,3.0,2.2,0.3,0.1669262201009337
Naomi Mulitauaopele,2000,12,22.0,4.5,1.5,0.3,0.16770502789752942
Olga Firsova,2000,13,9.0,1.3,0.4,0.1,0.03920864478338108
Katy Steding,2000,14,55.0,3.5,1.3,0.7,0.17496622545741666
Nicole Kubik,2000,15,7.0,1.1,0.6,1.0,0.088652185725907
Elena Shakirova,2000,16,41.0,2.3,1.6,0.3,0.1286860920910693
Helen Darling,2000,17,322.0,4.1,2.0,2.8,0.3912144202716455
Tonya Massaline,2000,18,98.0,2.6,1.2,0.4,0.15192765601448044
Jameka Jones,2000,19,21.0,3.3,1.0,0.5,0.13929031824305885
Jannon Roland,2000,20,21.0,1.6,0.8,0.4,0.09871491668044811
Adrian Williams-Strong,2000,21,242.0,5.7,4.7,0.7,0.36797559297268273
Marla Brumfield,2000,22,84.0,2.2,1.1,1.0,0.1708275624849779
Stacey Thomas,2000,23,145.0,3.0,2.4,1.6,0.26866374186471853
Keitha Dickerson,2000,24,36.0,3.9,3.9,1.7,0.30932194828732357
Charisse Sampson,2000,25,21.0,3.7,2.0,0.5,0.17631948348164755
Jurgita Streimikyte,2000,26,88.0,6.3,3.5,1.5,0.3280288984591876
Tiffany Travis,2000,27,32.0,5.4,2.5,0.8,0.2426693144261038
Madinah Slaise,2000,28,3.0,1.3,0.3,0.0,0.03322129766146744
Desiree Francis,2000,29,1.0,0.0,0.0,0.0,0.01187220510782073
Stacy Clinesmith,2000,30,54.0,1.9,0.7,1.5,0.14664788456103173
Paige Sauer,2000,31,15.0,1.5,1.3,0.2,0.08193676990187544
Andrea Garner,2000,32,32.0,3.1,3.0,0.8,0.22790782203226662
Monique Morehouse,2000,33,0.0,0.0,0.0,0.0,0.0
Jill Morton,2000,34,0.0,0.0,0.0,0.0,0.0
Stacy Frese,2000,35,21.0,3.0,0.9,0.8,0.1405029016024033
Shawnetta Stewart,2000,36,0.0,0.0,0.0,0.0,0.0
Tauja Catchings,2000,37,0.0,0.0,0.0,0.0,0.0
Phylesha Whaley,2000,38,0.0,0.0,0.0,0.0,0.0
Maxann Reese,2000,39,0.0,0.0,0.0,0.0,0.0
Milena Flores,2000,40,32.0,3.5,0.7,1.5,0.19056009477951244
Kirra Jordan,2000,41,0.0,0.0,0.0,0.0,0.0
Usha Gilmore,2000,42,4.0,0.5,1.3,0.5,0.07853509654790158
Peppi Browne,2000,43,0.0,0.0,0.0,0.0,0.0
Chavonne Hammond,2000,44,0.0,0.0,0.0,0.0,0.0
Jessica Bibby,2000,45,17.0,1.1,0.3,0.6,0.06463489846988094
Rhonda Banchero,2000,46,9.0,0.7,0.3,0.1,0.03240923615975077
Marte Alexander,2000,47,0.0,0.0,0.0,0.0,0.0
Latavia Coleman,2000,48,0.0,0.0,0.0,0.0,0.0
Sophie Von Saldern,2000,49,0.0,0.0,0.0,0.0,0.0
Latina Davis,2000,50,0.0,0.0,0.0,0.0,0.0
Kristen Rasmussen,2000,51,276.0,4.4,3.6,1.3,0.3649301632246224
Romana Hamzova,2000,52,15.0,0.5,0.2,0.3,0.03998576131779805
Shantia Owens,2000,53,33.0,4.0,3.0,0.6,0.236822727392566
Jana Lichnerova,2000,54,0.0,0.0,0.0,0.0,0.0
Rhonda Smith,2000,55,0.0,0.0,0.0,0.0,0.0
Shanele Stires,2000,56,48.0,1.9,1.0,0.5,0.11175280457914152
Katrina Hibbert,2000,57,20.0,2.7,1.5,0.9,0.16054677424618224
Renee Robinson,2000,58,2.0,2.0,0.0,0.0,0.034803310571968026
Shaka Massey,2000,59,0.0,0.0,0.0,0.0,0.0
Cal Bouchard,2000,60,0.0,0.0,0.0,0.0,0.0
Natalie Porter,2000,61,0.0,0.0,0.0,0.0,0.0
Jessica Zinobile,2000,62,0.0,0.0,0.0,0.0,0.0
Nicky McCrimmon,2000,63,125.0,2.3,0.8,1.7,0.20219312517902827
Abbie Willenborg,2000,64,0.0,0.0,0.0,0.0,0.0
Chamique Holdsclaw,1999,1,279.0,16.9,7.6,2.5,0.6831943364103611
Yolanda Griffith,1999,2,311.0,13.6,7.9,1.5,0.6139047986552991
Natalie Williams,1999,3,221.0,13.1,8.3,1.4,0.5963336539479693
DeLisha Milton-Jones,1999,4,499.0,11.2,5.2,1.8,0.6090759329397338
Jennifer Azzi,1999,5,141.0,9.1,2.6,4.5,0.5277007229223978
Crystal Robinson,1999,6,245.0,10.2,2.7,2.0,0.47417050258080334
Tonya Edwards,1999,7,125.0,9.0,2.3,1.7,0.36106306091045093
Tari Phillips,1999,8,232.0,9.2,5.5,0.9,0.44272286081914
Dawn Staley,1999,9,263.0,8.5,2.0,5.1,0.5571151633392374
Edna Campbell,1999,10,161.0,7.1,1.7,1.4,0.3253526708760166
Chasity Melvin,1999,11,393.0,9.7,5.4,1.3,0.5339958859064209
Natalia Zasulskaya,1999,12,0.0,0.0,0.0,0.0,0.0
Shalonda Enis,1999,13,106.0,7.7,4.2,0.8,0.3560880823108787
Kedra Holland-Corn,1999,14,223.0,8.7,2.1,1.9,0.4065595880154163
Debbie Black,1999,15,193.0,3.9,2.8,3.2,0.3905000273170799
Clarisse Machanguana,1999,16,118.0,4.1,2.6,0.5,0.2311408638871338
Val Whiting-Raymond,1999,17,63.0,4.8,4.7,1.1,0.3152693608497757
Michele Van Gorp,1999,18,132.0,3.2,2.1,0.4,0.1977287418269233
Trisha Fallon,1999,19,57.0,7.0,1.7,1.0,0.26716226609711935
Sheri Sam,1999,20,328.0,10.2,4.1,2.3,0.530078890128861
Stephanie White,1999,21,142.0,5.9,1.6,2.0,0.3110155420971564
Clarissa Davis-Wrightsil,1999,22,14.0,9.3,2.7,1.4,0.30060772728594026
Mery Andrade,1999,23,140.0,4.2,2.1,2.1,0.31084608524735724
Sonja Henning,1999,24,151.0,3.2,2.3,2.3,0.3414421789602437
Andrea Nagy,1999,25,102.0,3.2,1.8,3.5,0.3374486978172332
Kate Starbird,1999,26,112.0,3.3,1.1,0.8,0.1823777228814068
Adrienne Goodson,1999,27,221.0,12.2,5.1,2.0,0.5293913459613833
Ukari Figgs,1999,28,151.0,6.5,2.3,3.1,0.40511334498657214
Dominique Canty,1999,29,380.0,7.3,2.5,2.8,0.47715308829574665
Tamika Whitmore,1999,30,350.0,9.6,3.9,1.0,0.465799808762004
Andrea Lloyd-Curry,1999,31,46.0,6.3,3.9,2.5,0.3877473057646536
Taj McWilliams-Franklin,1999,32,440.0,11.4,6.8,2.0,0.6409425935099904
Charlotte Smith,1999,33,237.0,6.0,3.4,1.5,0.39170279373527483
Lisa Harrison,1999,34,187.0,6.0,3.6,1.2,0.3729103512435662
Tracy Henderson,1999,35,61.0,1.8,2.1,0.2,0.13725394516709233
Kara Wolters,1999,36,86.0,6.5,3.2,0.7,0.26666815635399266
Jennifer Whittle,1999,37,7.0,0.0,0.6,0.0,0.045782610370989296
Amy Herrig,1999,38,85.0,3.3,2.3,0.4,0.1923523883639441
Dalma Ivanyi,1999,39,106.0,2.1,1.5,1.8,0.2230907214050554
La'Keshia Frett,1999,40,201.0,4.0,1.9,0.8,0.2506996822922207
Astou Ndiaye-Diatta,1999,41,163.0,7.6,4.2,1.0,0.36468031058014166
Carolyn Young,1999,42,42.0,4.6,1.1,0.6,0.1644106986836363
Sonja Tate,1999,43,40.0,4.3,3.5,2.6,0.33951529605907027
Carla McGhee,1999,44,81.0,1.9,1.5,0.4,0.14068053329577157
Angie Braziel,1999,45,52.0,3.9,2.3,0.3,0.17751404740118698
Amanda Wilson,1999,46,15.0,0.9,0.5,0.2,0.04701879396659425
Kellie Jolly Harper,1999,47,1.0,0.0,0.0,1.0,0.053702612932464866
Jennifer Rizzotti,1999,48,148.0,3.1,1.4,1.8,0.2569122579695967
Angie Potthoff,1999,49,35.0,3.6,2.5,1.1,0.2500463069059483
Elaine Powell,1999,50,265.0,5.7,2.5,2.8,0.4084778849340681
Margo Dydek,1998,1,323.0,10.0,6.6,1.6,0.53371420963207
Ticha Penicheiro,1998,2,454.0,6.1,3.3,5.7,0.6192604808629567
Murriel Page,1998,3,354.0,6.1,4.5,1.2,0.4481200201255283
Korie Hlede,1998,4,133.0,8.9,2.8,2.1,0.38631449143125574
Allison Feaster,1998,5,284.0,8.0,2.4,1.4,0.3961064932237971
Cindy Blodgett,1998,6,65.0,2.5,0.5,0.4,0.1068336056744796
Tracy Reid,1998,7,116.0,7.5,3.4,1.0,0.3351962438738606
Maria Stepanova,1998,8,114.0,7.6,4.7,0.9,0.3422774221845786
Alicia Thompson,1998,9,143.0,5.3,2.5,0.7,0.25963858550746866
Polina Tzekova,1998,10,32.0,6.1,5.1,1.0,0.34557530476980797
Olympia Scott,1998,11,219.0,4.7,3.2,0.8,0.30359022696283666
Tangela Smith,1998,12,463.0,10.9,5.0,1.2,0.5639502285877266
Rita Williams,1998,13,186.0,6.4,2.0,2.2,0.35974715753339004
Rachael Sporn,1998,14,71.0,4.0,3.1,1.1,0.25328565412053716
Octavia Blue,1998,15,59.0,2.1,1.2,0.3,0.12591201773907867
Suzie McConnell Serio,1998,16,78.0,6.7,2.0,4.8,0.43422050359175046
Christy Smith,1998,17,28.0,3.6,1.3,2.6,0.24669524604761187
Andrea Kuklova,1998,18,34.0,2.9,1.1,0.9,0.14995963647941898
Nadine Domond,1998,19,9.0,3.0,1.0,1.0,0.14216091745073448
Nyree Roberts,1998,20,26.0,1.3,0.8,0.1,0.0711014142135222
LaTonya Johnson,1998,21,179.0,3.8,1.3,0.7,0.22759693768467065
Quacy Barnes,1998,22,70.0,4.2,1.8,0.7,0.20876665012892492
Angie Hamblin,1998,23,6.0,1.0,1.2,0.3,0.07316759332715948
Gergana Branzova,1998,24,26.0,2.7,1.6,0.3,0.12226724511274703
Rehema Stephens,1998,25,8.0,3.3,1.3,0.5,0.13516631984115407
Tanja Kostic,1998,26,10.0,1.2,0.7,0.6,0.09154250301025615
Pollyanna Johns Kimbrough,1998,27,134.0,3.2,2.5,0.5,0.2182574984769729
Brandy Reed,1998,28,87.0,13.5,4.9,2.0,0.46943231236284994
Albena Branzova,1998,29,11.0,2.1,1.5,0.5,0.11923787313702276
Amaya Valdemoro,1998,30,55.0,2.3,0.8,0.5,0.10710942521606766
Tricia Bader Binford,1998,31,100.0,1.4,0.5,0.8,0.12652640252617536
Adia Barnes,1998,32,132.0,3.8,2.6,0.9,0.2514740548274995
Angela Jackson,1998,33,7.0,1.4,0.6,0.0,0.05784660719102308
Sandy Brondello,1998,34,155.0,11.4,1.9,2.3,0.4448412140189656
Erika Keinast,1998,35,0.0,0.0,0.0,0.0,0.0
Tammye Jenkins,1998,36,0.0,0.0,0.0,0.0,0.0
Sonia Chase,1998,37,36.0,1.3,0.5,0.5,0.08631214197801837
Karen Wilkins,1998,38,0.0,0.0,0.0,0.0,0.0
Vanessa Nygaard,1998,39,107.0,4.6,2.3,0.5,0.23767879735526418
Monica Lamb,1998,40,46.0,4.3,3.8,0.3,0.2480385593027378
Tina Thompson,1997,1,496.0,15.1,6.2,1.6,0.6815619322449151
Pamela McGee,1997,2,57.0,8.6,4.6,0.6,0.3438211272692612
Jamila Wideman,1997,3,84.0,2.2,1.4,2.5,0.2506466318470691
Eva Nemcova,1997,4,111.0,11.7,3.5,1.9,0.4589200031145773
Tammi Reiss,1997,5,50.0,7.2,2.3,2.7,0.3679429427630049
Sue Wicks,1997,6,182.0,4.5,4.3,1.0,0.3335090771061299
Tora Suber,1997,7,83.0,4.0,1.3,1.8,0.23729006148094464
Toni Foster,1997,8,54.0,6.5,3.9,0.9,0.2955765357284359
Tia Jackson,1997,9,26.0,2.8,2.2,1.0,0.18264608538255986
Sharon Manning,1997,10,114.0,4.7,4.2,0.7,0.2905248794069225
Sophia Witherspoon,1997,11,207.0,10.7,2.2,1.5,0.4025972200738317
Jessie Hicks,1997,12,169.0,4.2,2.1,0.5,0.22509898892389205
Merlakia Jones,1997,13,251.0,9.4,3.7,1.4,0.4429183337306447
Tamecka Dixon,1997,14,360.0,9.7,2.9,2.7,0.5122913031943284
Denique Graves,1997,15,22.0,0.7,0.7,0.0,0.05124685907355091
Tammy Jackson,1997,16,143.0,2.8,2.8,0.4,0.2245467881351812
Racquel Spurlock,1997,17,0.0,0.0,0.0,0.0,0.0
Chantel Tremitiere,1997,18,101.0,4.3,2.2,3.1,0.345712468467824
Katrina Colleton,1997,19,104.0,4.9,1.7,1.4,0.28229351498669086
Tina Nicholson,1997,20,24.0,2.0,0.4,1.8,0.1563950672912783
Raegan Scott,1997,21,30.0,1.7,1.2,0.3,0.10102012239403815
Trena Trice,1997,22,38.0,4.1,2.3,0.1,0.166867191855196
Debra Williams,1997,23,10.0,2.7,1.3,0.9,0.1507113902267293
Umeki Webb,1997,24,71.0,4.8,3.5,2.5,0.36650997847758254
Monique Ambers,1997,25,21.0,0.7,1.0,0.2,0.06481419315578399
Andrea Congreaves,1997,26,84.0,6.0,3.6,1.3,0.32716692874470304
Kisha Ford,1997,27,124.0,3.5,1.8,0.7,0.21933805030779804
Kim Williams,1997,28,58.0,7.8,2.4,1.8,0.31449337448656023
Anita Maxwell,1997,29,9.0,2.1,1.3,0.9,0.1179422642915495
Travesa Gant,1997,30,2.0,0.0,1.5,0.0,0.06876587701561793
Tajama Abraham,1997,31,40.0,3.5,1.9,0.3,0.16357743986539713
Catarina Pollini,1997,32,13.0,1.7,0.9,0.4,0.09321864523139349
